_id,Season,Player,Age,Pos,G,GS,RshTD,RecTD
653487058d3b56d4877c97fc,1926,Eddie Kotal,24.0,HB,10,5.0,1.0,1.0
653487058d3b56d4877c97fd,1934,Joe Laws,23.0,HB,13,7.0,1.0,1.0
653487058d3b56d4877c97fe,1940,Lou Tomasetti,24.0,HB,10,9.0,1.0,1.0
653487058d3b56d4877c97ff,1943,Merl Condit,26.0,HB,8,7.0,1.0,1.0
653487058d3b56d4877c9800,1950,Fred Gehrke,32.0,HB,11,1.0,1.0,1.0
653487058d3b56d4877c9801,1950,Emil Sitko,27.0,HB,8,3.0,1.0,1.0
653487058d3b56d4877c9802,1951,Wilford White,23.0,HB,6,2.0,1.0,1.0
653487058d3b56d4877c9803,1951,Rex Bumgardner,28.0,HB,10,0.0,1.0,1.0
653487058d3b56d4877c9804,1952,Babe Dimancheff,30.0,HB,9,2.0,1.0,1.0
653487058d3b56d4877c9805,1957,Bobby Watkins,25.0,HB,12,2.0,1.0,1.0
653487058d3b56d4877c9806,1958,Lenny Lyles,22.0,HB,12,0.0,1.0,1.0
653487058d3b56d4877c9807,1959,Don McIlhenny,25.0,HB,12,5.0,1.0,1.0
653487058d3b56d4877c9808,1959,Joe Morrison,22.0,HB,12,3.0,1.0,1.0
653487058d3b56d4877c9809,1960,Don McIlhenny,26.0,HB,11,7.0,1.0,1.0
653487058d3b56d4877c980a,1961,Howard Cassady,27.0,HB,14,1.0,1.0,1.0
653487058d3b56d4877c980b,1961,Tom Moore,23.0,HB,13,2.0,1.0,1.0
653487058d3b56d4877c980c,1961,Joe Morrison,24.0,HB,13,7.0,1.0,1.0
653487058d3b56d4877c980d,1961,Joel Wells,26.0,HB,14,3.0,1.0,1.0
653487058d3b56d4877c980e,1963,Jon Arnett,28.0,HB,9,8.0,1.0,1.0
653487058d3b56d4877c980f,1964,Tom Watkins,27.0,HB,14,7.0,1.0,1.0
653487058d3b56d4877c9810,1964,Phil King,28.0,HB,8,2.0,1.0,1.0
653487058d3b56d4877c9811,1964,Dan Lewis,28.0,HB,11,7.0,1.0,1.0
653487058d3b56d4877c9812,1966,Amos Bullocks,27.0,HB,8,2.0,1.0,1.0
653487058d3b56d4877c9813,1966,Ollie Matson,36.0,HB,14,2.0,1.0,1.0
653487058d3b56d4877c9814,1938,Ray Nolting,25.0,LH,11,9.0,1.0,1.0
653487058d3b56d4877c9815,1947,Bruce Smith,27.0,LH,10,6.0,1.0,1.0
653487058d3b56d4877c9816,1948,Dick Poillon,28.0,LH,12,11.0,1.0,1.0
653487058d3b56d4877c9817,1948,Fred Gehrke,30.0,LH,12,8.0,1.0,1.0
653487058d3b56d4877c9818,1951,Verl Lillywhite,25.0,LH,12,12.0,1.0,1.0
653487058d3b56d4877c9819,1952,George Taliaferro,25.0,LH,12,12.0,1.0,1.0
653487058d3b56d4877c981a,1955,Jerry Norton,24.0,LH,12,4.0,1.0,1.0
653487058d3b56d4877c981b,1956,Fred Morrison,30.0,LH,12,6.0,1.0,1.0
653487058d3b56d4877c981c,1957,Billy Ray Barnes,22.0,LH,12,12.0,1.0,1.0
653487058d3b56d4877c981d,1958,Don McIlhenny,24.0,LH,12,7.0,1.0,1.0
